297,гранатовый сироп,фрукты
298,гранатовый сок,напитки
299,гранола,крупы
300,гранулированный сахар,соль_сахар
301,гранулированный чеснок,овощи
302,грейпфрут,фрукты
303,грейпфрутовый сок,напитки
304,грейпфрутовый тоник,напитки
305,гренадин,сладкое
306,гренки из белого хлеба,хлеб
307,грецкие орехи,орехи
308,греческие травы,специи
309,греческий йогурт,молочное
310,гречишный мед,сладкое
311,гречка,крупы
312,гречневая лапша,макароны
313,гречневая мука,мука
314,гречневое молоко,молочное
315,гречневые хлопья,крупы
316,гриб-зонтик,грибы
317,грибной бульон,напитки
318,грибной порошок,грибы
319,грибной соус,соусы
320,грибы,грибы
321,грибы свинушки,грибы
322,грибы шиитаке,грибы
323,грибы эноки,грибы
324,гриссини,хлеб
325,"грудинка говяжья охлажденная, категория а, «хороший кусок»",мясо
326,грузди,грибы
327,грузинский лаваш,хлеб
328,груша,фрукты
329,груша «конференс»,фрукты
330,грушевое варенье,сладкое
331,грушевый компот,напитки
332,грушевый сироп,фрукты
333,грушевый сок,напитки
334,гуакамоле,соусы
335,гусиная печень,мясо
336,гусиный жир,мясо
337,гусиный паштет,консервы
338,дайкон,овощи
339,дандур,овощи
340,деревянная шпажка,прочее
341,джем,сладкое
342,джем из манго и маракуйи,сладкое
343,джем из черной смородины,сладкое
344,джем манго-персик,сладкое
345,джин,алкоголь
346,дижонская горчица,соусы
347,дикий рис,крупы
348,докторская колбаса,мясо
349,дорадо,рыба
350,драже,сладкое
351,древесные грибы муэр,грибы
352,дробленый пекан,орехи
353,дрожжевое тесто сдобное,мука
354,дрожжи,мука
355,дубовая кора,прочее
356,душистый перец,специи
357,душистый перец горошком,специи
358,дыня,фрукты
359,егермейстер,алкоголь
360,ежевика,фрукты
361,ежевичный джем,сладкое
362,ежики из индейки,мясо
363,жареный арахис,орехи
364,жареный кешью,орехи
365,жареный кунжут,прочее
366,желе из киви,сладкое
367,желе из лесных ягод,сладкое
368,желтая паста карри,специи
369,желток куриного яйца,мясо
370,желтые помидоры,овощи
371,желтый болгарский перец,овощи
372,желтый пищевой краситель,прочее
373,жимолость,фрукты
374,жир нерпы,прочее
375,заварной крем,сладкое
376,загуститель для сметаны,прочее
377,загуститель сливок,прочее
378,закваска «наринэ»,молочное
379,закваска для йогурта,молочное
380,замороженное филе сома,рыба
381,замороженное филе трески,рыба
382,замороженные зерна кукурузы,овощи
383,замороженные лисички,грибы
384,замороженные луковые кольца,овощи
385,замороженные маслята,грибы
386,замороженные мидии,морепродукты
387,замороженные морские гребешки,морепродукты
388,замороженные овощи по-деревенски,овощи
389,замороженные опята,грибы
390,замороженные шампиньоны,грибы
391,замороженные ягоды,фрукты
392,заправка для суши,соусы
393,заправка для фунчозы,соусы
394,зверобой,прочее
395,зеленая алыча,фрукты
396,зеленая гречка,крупы
397,зеленая паста карри,специи
398,зеленая редька,овощи
399,зеленая чечевица,овощи
400,зеленое масло,масло
401,зеленое яблоко,фрукты
402,зеленые бананы,фрукты
403,зеленые бобы мун,овощи
404,зеленые грецкие орехи,орехи
405,зеленые помидоры,овощи
406,зеленый болгарский перец,овощи
407,зеленый виноград,фрукты
408,зеленый лук,овощи
409,зеленый перец горошком,специи
410,зеленый пищевой краситель,прочее
411,зеленый чай,напитки
412,зеленый чай с жасмином,напитки
413,зеленый чили,овощи
414,зелень,овощи
415,земляника,фрукты
416,зеркальный карп,рыба
417,зерна граната,фрукты
418,зерна кофе,напитки
419,зерна ячменя,крупы
420,зерненый творог в сливках,молочное
421,зернистая горчица,соусы
422,зернистый творог,молочное
423,зернистый творог 5% жирности,молочное
424,зефир,сладкое
425,зира / кумин,специи
426,злаковые хлопья,крупы
427,золотой ром,алкоголь
428,зонтики укропа,овощи
429,зубатка,рыба
430,иван-чай,напитки
431,иваси,рыба
432,игристое вино,алкоголь
433,изомальт,сладкое
434,изюм,фрукты
435,изюм коринка,фрукты
436,изюм светлый,фрукты
437,изюм темный,фрукты
438,икорный крем,рыба
439,икра горбуши,рыба
440,икра камбалы,рыба
441,икра карася,рыба
442,икра красная,рыба
443,икра лосося,рыба
444,икра минтая,рыба
445,икра мойвы,рыба
446,икра тобико,рыба
447,икра тобико черная,рыба
448,икра трески,рыба
449,икра щуки,рыба
450,имбирная паста,специи
451,имбирь,специи
452,имеретинский сыр,молочное
453,инвертный сироп,сладкое
454,индейка,мясо
455,индейка на кости,мясо
456,инжир,фрукты
457,инжир в сиропе,фрукты
458,ирга,фрукты
459,ириски,сладкое
460,ирландский виски,алкоголь
461,итальянские травы,специи
462,йогурт,молочное
463,йогурт 10% жирности,молочное
464,"йогурт 3,5% жирности",молочное
465,йогурт натуральный,молочное
466,йогурт натуральный 3% жирности,молочное
467,йодированная морская соль,соль_сахар
468,кабачковая икра,овощи
469,кабачок,овощи
470,кабачок цукини,овощи
471,кайенский перец,специи
472,каймак,молочное
473,какао,напитки
474,какао-порошок,напитки
475,калина,фрукты
476,кальвадос,алкоголь
477,кальмар,морепродукты
478,камамбер,молочное
479,камбала,рыба
480,каменная соль,соль_сахар
481,каннеллони,макароны
482,каноловое масло,масло
483,каперсы,овощи
484,капуста,овощи
485,капуста бок-чой,овощи
486,капуста кимчи,овощи
487,каракатица,морепродукты
488,карамелизированный лук,овощи
489,карамельное желе,сладкое
490,карамельный сироп,сладкое
491,карась,рыба
492,карбонад копчено-вареный,мясо
493,кардамон,специи
494,каре ягненка,мясо
495,карибская смесь овощей,овощи
496,каркаде,напитки
497,карп,рыба
498,карпаччо из индейки,мясо
499,карпаччо из курицы,мясо
500,карповая икра,рыба
